"","scDemultiplex","HTODemux","MULTIseqDemux","GMM_demux"
"HTO-A",2.76823605924119,2.65508947812649,2.71899149304321,2.70360370889708
"HTO-B",2.77134477815342,2.71303844159236,2.76579923952911,2.74710036905272
"HTO-C",2.55331918769205,2.51155434986194,2.54893089174388,2.53147616997617
"HTO-D",2.74655328254725,2.71054938620594,2.75588758891918,2.73806403122238
"HTO-E",2.70693063602427,2.65837668983945,2.70056286005169,2.6870234315777
"HTO-F",2.56427561599059,2.51560078281819,2.56550663566801,2.54036456295035
"HTO-G",2.279626005225,2.24647906281787,2.29165370507594,2.26176295327046
"HTO-H",2.64851329683131,2.607342429091,2.65064256759841,2.63092520535085
